4001_16500	20150721	22776	87	71	11172.0
4001_16500	20150722	17282	55	46	10274.0
4001_16500	20150723	17598	33	19	6285.0
4001_16500	20150724	22440	73	57	11445.0
4001_16500	20150725	25487	65	46	26089.0
4001_16500	20150726	14318	45	25	10862.0
4001_16500	20150727	15689	48	36	6887.0
4001_16500	20150728	12581	37	32	7657.0
4001_16501	20150721	369	0	0	0.0
4001_16502	20150721	12235	46	42	8913.0
4001_16503	20150721	874	1	1	534.0
4001_16503	20150723	304	0	0	0.0
4001_16504	20150721	7314	57	44	8613.0
4001_16504	20150722	4311	6	6	888.0
4001_16505	20150721	3242	12	12	1590.0
4001_16506	20150721	12079	36	31	4980.0
4001_16506	20150724	738	2	2	341.0
4001_16507	20150721	3430	9	9	1237.0
4001_16507	20150722	348	0	0	0.0
4001_16507	20150723	453	0	0	0.0
4001_16507	20150724	323	0	0	0.0
4001_16508	20150721	782	2	2	334.0
4001_16509	20150721	10191	71	65	6950.0
4001_16509	20150722	10427	24	22	2624.0
4001_16509	20150723	1748	0	0	0.0
4001_16509	20150724	779	0	0	0.0
4001_16509	20150725	1312	5	5	1871.0
4001_16509	20150726	9309	3	3	1041.0
4001_16509	20150727	4704	21	21	2958.0
4001_16509	20150728	912	0	0	0.0
4001_16510	20150721	24628	74	62	15199.0
4001_16510	20150722	23091	61	43	14524.0
4001_16510	20150723	21169	39	26	12557.0
4001_16510	20150724	18039	50	30	12020.0
4001_16510	20150725	786	2	1	283.0
4001_16511	20150721	448	1	1	120.0
4001_16512	20150721	376	0	0	0.0
4001_16513	20150721	5084	23	19	3692.0
4001_16514	20150721	966	1	1	131.0
4001_16515	20150721	30289	59	53	15319.0
4001_16515	20150722	31364	64	49	10215.0
4001_16515	20150723	17688	23	14	8368.0
4001_16515	20150724	20006	54	45	15410.0
4001_16515	20150725	9059	16	11	5884.0
4001_16515	20150726	40576	22	16	10275.0
4001_16515	20150727	16006	23	17	4854.0
4001_16515	20150728	14461	37	30	9513.0
4001_16516	20150721	1431	4	4	494.0
4001_16517	20150721	19691	104	79	13013.0
4001_16517	20150722	28241	68	40	13648.0
4001_16517	20150723	11796	30	18	5935.0
4001_16517	20150724	5621	11	7	1835.0
4001_16517	20150725	2045	5	2	834.0
4001_16518	20150721	3493	12	12	1700.0
4001_16519	20150721	5182	20	17	3183.0
4001_16519	20150722	564	0	0	0.0
4001_16520	20150721	4073	24	16	2279.0
4001_16521	20150721	1667	8	7	2361.0
4001_16522	20150721	18060	50	43	9686.0
4001_16523	20150721	7453	31	29	3836.0
4001_16523	20150722	364	0	0	0.0
4001_16524	20150721	334	1	1	89.0
4001_16525	20150721	801	3	3	376.0
4001_16526	20150721	722	1	1	207.0
4001_16527	20150721	14631	68	49	8802.0
4001_16527	20150722	7342	22	15	4213.0
4001_16528	20150721	994	2	2	241.0
4001_16529	20150721	2517	9	9	1093.0
4001_16529	20150722	391	0	0	0.0
4001_16530	20150721	12240	46	40	10154.0
4001_16530	20150722	12979	30	24	8668.0
4001_16531	20150721	2893	15	15	2207.0
4001_16532	20150721	2781	12	10	1179.0
4001_16532	20150722	2082	6	6	1059.0
4001_16532	20150723	387	0	0	0.0
4001_16532	20150725	366	0	0	0.0
4001_16532	20150726	454	0	0	0.0
4001_16533	20150721	371	0	0	0.0
4001_16534	20150721	4582	15	15	3105.0
4001_16535	20150721	1073	4	4	581.0
4001_16536	20150721	3574	8	8	1986.0
4001_16536	20150722	3190	7	7	1474.0
4001_16537	20150721	1663	6	6	808.0
4001_16538	20150721	12991	32	27	5957.0
4001_16538	20150722	19091	34	30	6534.0
4001_16538	20150723	3497	0	0	0.0
4001_16538	20150724	845	0	0	0.0
4001_16538	20150725	3285	9	1	733.0
4001_16538	20150726	430	0	0	0.0
4001_16538	20150727	455	0	0	0.0
4001_16539	20150721	11481	67	50	7226.0
4001_16539	20150722	12687	33	25	7463.0
4001_16539	20150723	7837	17	16	2903.0
4001_16539	20150724	9480	9	7	1155.0
4001_16539	20150725	12029	21	14	5776.0
4001_16539	20150726	7756	9	5	1437.0
4001_16539	20150727	9132	11	8	1794.0
4001_16539	20150728	13132	11	7	2069.0
4001_16540	20150721	448	1	1	104.0
4001_16541	20150721	16146	60	47	9290.0
4001_16541	20150722	450	0	0	0.0
